templateKey,subject,body,lastUpdated
standard_price_communication,Additional Services — Price Communication — {customerName},"Hello {customerName},\n\nAs discussed, below are the price details for the additional services requested regarding {rrDescription}.\n\nPlease find the final and binding price:\n\n* {additionalServiceIds} - {rrDescription}\n* {price} {currency} per unit\n\nYou are kindly requested to review the price and provide approval/feedback at your earliest convenience.\n\nNote:\n- The price is valid for 90 days.\n- Any Additional Services completed by SAP will be invoiced monthly in arrears.\n- Service delivery can only commence once approval is in place via E-mail that costs are approved and commercially covered by the Customer organization.\n- Once the Service Execution is completed the invoice will be triggered.\n- Lead time to be aligned in advance.\n\nPlease be aware the request will be performed only after the costs are approved.\n\nMany thanks in advance for your support!\n\n{cdmOwner}\nCustomer Delivery Manager | SAP",2026-04-24
non_standard,Additional Services — Price Communication — {customerName},"[PENDING Q6] Non-standard price communication template text to be provided by CDM team. Until then the standard template (templateKey: standard_price_communication) applies for all requests.",2026-04-28
